duplicate_group_id,dataset_name,sequence_name,file_path,duplicate_type,similarity_score,recommended_keep,recommended_action,review_status
DUP_00043,AAU RainSnow,Hjorringvej-2,Hjorringvej/Hjorringvej-2/cam1-03578.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00044,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-03650.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00044,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-03650.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00044,AAU RainSnow,Ostre-2,Ostre/Ostre-2/cam1-03650.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00045,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-04051.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00045,AAU RainSnow,Ostre-3,Ostre/Ostre-3/cam1-04051.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00046,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-04151.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00046,AAU RainSnow,Hjorringvej-3,Hjorringvej/Hjorringvej-3/cam1-04151.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00047,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-04779.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00047,AAU RainSnow,Hobrovej-1,Hobrovej/Hobrovej-1/cam1-04779.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00048,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-04985.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00048,AAU RainSnow,Hasserisvej-3,Hasserisvej/Hasserisvej-3/cam1-04985.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00049,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05034.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00049,AAU RainSnow,Hasserisvej-3,Hasserisvej/Hasserisvej-3/cam1-05034.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00050,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05074.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00050,AAU RainSnow,Hjorringvej-2,Hjorringvej/Hjorringvej-2/cam1-05074.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00051,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05187.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00051,AAU RainSnow,Ostre-2,Ostre/Ostre-2/cam1-05187.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00052,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05733.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00052,AAU RainSnow,Hjorringvej-3,Hjorringvej/Hjorringvej-3/cam1-05733.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00053,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05848.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00053,AAU RainSnow,Hadsundvej-2,Hadsundvej/Hadsundvej-2/cam1-05848.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00054,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-05963.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00054,AAU RainSnow,Ostre-2,Ostre/Ostre-2/cam1-05963.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00055,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00065.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00055,AAU RainSnow,Hjorringvej-2,Hjorringvej/Hjorringvej-2/cam1-00065.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00056,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00259.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00056,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-00259.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00057,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00665.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00057,AAU RainSnow,Egensevej-3,Egensevej/Egensevej-3/cam1-00665.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00058,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00722.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00058,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-00722.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00059,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00812.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00059,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-00812.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00060,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00822.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00060,AAU RainSnow,Egensevej-3,Egensevej/Egensevej-3/cam1-00822.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00061,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00858.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00061,AAU RainSnow,Ostre-1,Ostre/Ostre-1/cam1-00858.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00062,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-01019.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00062,AAU RainSnow,Hjorringvej-3,Hjorringvej/Hjorringvej-3/cam1-01019.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00063,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-01785.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00063,AAU RainSnow,Ostre-4,Ostre/Ostre-4/cam1-01785.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00064,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-01836.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00064,AAU RainSnow,Ringvej-1,Ringvej/Ringvej-1/cam1-01836.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00065,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-02056.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00065,AAU RainSnow,Hjorringvej-1,Hjorringvej/Hjorringvej-1/cam1-02056.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00066,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-02203.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00066,AAU RainSnow,Ringvej-1,Ringvej/Ringvej-1/cam1-02203.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00067,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-03086.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00067,AAU RainSnow,Ringvej-3,Ringvej/Ringvej-3/cam1-03086.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00068,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-03367.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00068,AAU RainSnow,Hjorringvej-2,Hjorringvej/Hjorringvej-2/cam1-03367.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00069,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-03435.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00069,AAU RainSnow,Ringvej-3,Ringvej/Ringvej-3/cam1-03435.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00070,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-03667.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00070,AAU RainSnow,Ringvej-3,Ringvej/Ringvej-3/cam1-03667.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00071,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-03917.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00071,AAU RainSnow,Ringvej-3,Ringvej/Ringvej-3/cam1-03917.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
