dimension,value,original_class,mapped_class,bbox_count_in_analysis,ratio_within_slice,analysis_scope
weather,CLOUDY,car,vehicle,4103,0.90255169,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,others,vehicle,13,0.00285966,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,van,vehicle,430,0.09458865,BBOX_ANALYSIS_SAMPLE
weather,RAIN_OR_WET_ROAD,bicycle,EXCLUDED_OR_UNMAPPED,32,0.03088803,BBOX_ANALYSIS_SAMPLE
weather,RAIN_OR_WET_ROAD,bus,vehicle,15,0.01447876,BBOX_ANALYSIS_SAMPLE
weather,RAIN_OR_WET_ROAD,car,vehicle,880,0.84942085,BBOX_ANALYSIS_SAMPLE
weather,RAIN_OR_WET_ROAD,person,EXCLUDED_OR_UNMAPPED,28,0.02702703,BBOX_ANALYSIS_SAMPLE
weather,RAIN_OR_WET_ROAD,truck,vehicle,81,0.07818533,BBOX_ANALYSIS_SAMPLE
weather,UNKNOWN,bus,vehicle,409,0.26455369,BBOX_ANALYSIS_SAMPLE
weather,UNKNOWN,car,vehicle,1082,0.69987063,BBOX_ANALYSIS_SAMPLE
weather,UNKNOWN,others,vehicle,17,0.01099612,BBOX_ANALYSIS_SAMPLE
weather,UNKNOWN,van,vehicle,38,0.02457956,BBOX_ANALYSIS_SAMPLE
