dataset_name,sequence_name,source_file,split,read_status,width,height,aspect_ratio,file_size_bytes,mean_brightness,brightness_std,contrast,laplacian_variance,blur_score,dark_pixel_ratio,bright_pixel_ratio,mean_saturation,black_suspect,white_suspect,underexposed_suspect,overexposed_suspect,blur_suspect,assessment_source
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00067160.jpg,train,OK,342,228,1.5,10583,141.4057,68.9975,68.9975,1604.4575,1604.4575,0.020878,0.05453,37.0804,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00053384.jpg,train,OK,720,480,1.5,26293,96.7105,58.759,58.759,664.9742,664.9742,0.085101,0.028877,50.9716,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00070076.jpg,train,OK,720,480,1.5,30055,129.6177,68.1052,68.1052,818.5055,818.5055,0.042639,0.085061,24.9334,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00004210.jpg,train,OK,720,480,1.5,29824,131.296,54.3062,54.3062,631.9825,631.9825,0.018637,0.03252,80.7685,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00022346.jpg,train,OK,720,480,1.5,31922,126.2992,52.0385,52.0385,898.4874,898.4874,0.030249,0.031577,45.7909,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00089053.jpg,train,OK,342,228,1.5,11540,149.5036,67.779,67.779,2655.6991,2655.6991,0.028163,0.122512,23.1794,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00081252.jpg,train,OK,720,480,1.5,18854,123.565,41.5151,41.5151,592.9631,592.9631,0.0209,0.001591,26.3674,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00009411.jpg,train,OK,720,480,1.5,30084,131.8245,57.4235,57.4235,889.4726,889.4726,0.029392,0.076319,20.4068,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00055744.jpg,train,OK,720,480,1.5,29634,117.5365,55.4252,55.4252,703.9799,703.9799,0.028139,0.004844,43.6777,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00017616.jpg,train,OK,720,480,1.5,35707,124.747,59.6435,59.6435,858.225,858.225,0.022619,0.0323,40.5265,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00027218.jpg,train,OK,720,480,1.5,37803,130.4792,55.6966,55.6966,986.9092,986.9092,0.029687,0.040726,36.9485,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00039838.jpg,train,OK,720,480,1.5,28232,123.2858,40.4482,40.4482,758.4158,758.4158,0.028527,0.015148,24.0507,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00061019.jpg,train,OK,342,228,1.5,11858,137.5649,66.9404,66.9404,2548.8939,2548.8939,0.027675,0.067559,28.8281,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00013598.jpg,train,OK,720,480,1.5,30374,127.7433,55.5725,55.5725,691.0255,691.0255,0.027133,0.042376,24.9316,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00102581.jpg,train,OK,342,228,1.5,11614,134.1395,59.6146,59.6146,2654.2108,2654.2108,0.029445,0.02729,29.5686,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00102493.jpg,train,OK,720,480,1.5,21885,126.8094,45.456,45.456,536.9755,536.9755,0.020124,0.004534,24.9262,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00038550.jpg,train,OK,720,480,1.5,38909,128.792,56.556,56.556,1517.674,1517.674,0.031826,0.036157,40.7882,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00052903.jpg,train,OK,720,480,1.5,26548,123.7035,58.6382,58.6382,679.1785,679.1785,0.018872,0.08002,92.4712,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00066288.jpg,train,OK,720,480,1.5,32619,125.4138,49.6995,49.6995,976.8928,976.8928,0.032231,0.027824,37.2611,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00040351.jpg,train,OK,342,228,1.5,7992,90.5278,41.0078,41.0078,978.0588,978.0588,0.027996,0.003052,50.8643,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00042669.jpg,train,OK,720,480,1.5,17821,129.2165,35.2591,35.2591,447.3033,447.3033,0.016997,0.024997,39.1604,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00040022.jpg,train,OK,720,480,1.5,39602,127.1423,75.6961,75.6961,949.1116,949.1116,0.038912,0.079369,58.99,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00031535.jpg,train,OK,342,228,1.5,9146,118.7824,44.3646,44.3646,1319.3384,1319.3384,0.022058,0.040718,31.8695,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00025319.jpg,train,OK,720,480,1.5,30631,131.2648,55.1282,55.1282,844.3705,844.3705,0.032865,0.034427,32.9826,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00107124.jpg,train,OK,720,480,1.5,28065,100.5761,52.2137,52.2137,731.0677,731.0677,0.036374,0.033744,42.1135,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00092518.jpg,train,OK,720,480,1.5,25284,128.2928,41.3335,41.3335,611.2192,611.2192,0.017705,0.010576,60.5396,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00006969.jpg,train,OK,720,480,1.5,26539,128.8821,39.6904,39.6904,661.1831,661.1831,0.027905,0.018073,21.2453,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00020140.jpg,train,OK,720,480,1.5,28882,125.88,54.2707,54.2707,662.4814,662.4814,0.026884,0.035532,27.3381,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00079651.jpg,train,OK,720,480,1.5,29570,137.7634,52.2569,52.2569,911.8929,911.8929,0.017812,0.032303,56.0393,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00057341.jpg,train,OK,720,480,1.5,33696,132.021,53.7024,53.7024,1053.2938,1053.2938,0.031059,0.04667,26.0057,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00069961.jpg,train,OK,720,480,1.5,20972,134.3909,33.951,33.951,515.2275,515.2275,0.017815,0.003209,44.9977,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00022458.jpg,train,OK,720,480,1.5,31542,133.4815,56.5715,56.5715,813.1044,813.1044,0.0293,0.090964,17.0118,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00087856.jpg,train,OK,720,480,1.5,29435,127.0999,54.7747,54.7747,679.8209,679.8209,0.026412,0.045038,24.9578,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00033790.jpg,train,OK,342,228,1.5,10777,136.8096,54.5489,54.5489,2742.8435,2742.8435,0.027214,0.04073,21.557,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00048525.jpg,train,OK,720,480,1.5,32315,108.3767,50.087,50.087,973.3155,973.3155,0.032665,0.049164,30.8461,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00105137.jpg,train,OK,720,480,1.5,25561,138.9352,40.2838,40.2838,657.8227,657.8227,0.026603,0.014913,22.1295,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00050414.jpg,train,OK,720,480,1.5,32482,185.6222,73.5143,73.5143,856.5562,856.5562,0.034465,0.265602,29.6623,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00086412.jpg,train,OK,720,480,1.5,29651,125.9463,52.3714,52.3714,664.7841,664.7841,0.021444,0.002228,63.1381,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00013798.jpg,train,OK,720,480,1.5,44496,156.0604,65.3803,65.3803,1200.2368,1200.2368,0.027002,0.078626,28.2353,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00096014.jpg,train,OK,720,480,1.5,31275,139.1867,63.6577,63.6577,823.7728,823.7728,0.031479,0.099957,32.8501,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00048593.jpg,train,OK,720,480,1.5,26290,127.4097,44.9732,44.9732,648.0994,648.0994,0.018779,0.003241,43.4817,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00051529.jpg,train,OK,342,228,1.5,6601,47.1407,45.9147,45.9147,948.9345,948.9345,0.275957,0.014812,40.3922,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00024906.jpg,train,OK,720,480,1.5,18354,97.309,48.4319,48.4319,302.8026,302.8026,0.064687,0.002902,52.0504,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00051597.jpg,train,OK,720,480,1.5,32881,135.4963,55.8458,55.8458,1154.4084,1154.4084,0.035347,0.052431,24.0247,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00093570.jpg,train,OK,342,228,1.5,10730,128.4664,49.651,49.651,2323.183,2323.183,0.02411,0.057723,21.1214,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00048264.jpg,train,OK,720,480,1.5,22219,85.3375,47.3716,47.3716,468.6454,468.6454,0.160521,0.003105,31.9418,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00062773.jpg,train,OK,720,480,1.5,30151,121.4238,57.4273,57.4273,734.9994,734.9994,0.031701,0.002766,59.9475,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00014955.jpg,train,OK,720,480,1.5,32139,126.3596,52.8324,52.8324,784.4026,784.4026,0.028232,0.048576,35.3701,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00107565.jpg,train,OK,342,228,1.5,6527,92.182,25.4494,25.4494,399.8962,399.8962,0.021853,0.000526,23.4116,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00076220.jpg,train,OK,720,480,1.5,28423,120.2548,55.5256,55.5256,689.2081,689.2081,0.024994,0.01522,53.9262,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00100967.jpg,train,OK,720,480,1.5,32307,106.4882,48.7418,48.7418,969.4828,969.4828,0.03546,0.044239,34.1399,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00110569.jpg,train,OK,342,228,1.5,10654,137.2797,54.2263,54.2263,2961.5204,2961.5204,0.025097,0.045296,18.0632,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00056840.jpg,train,OK,720,480,1.5,17232,48.7541,52.5446,52.5446,465.9884,465.9884,0.215177,0.020501,40.8888,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00088752.jpg,train,OK,720,480,1.5,23400,128.7111,42.0387,42.0387,560.7626,560.7626,0.017503,0.005038,59.3358,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00068848.jpg,train,OK,720,480,1.5,24610,137.8322,40.793,40.793,720.0903,720.0903,0.026693,0.012477,24.5522,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00108439.jpg,train,OK,720,480,1.5,16011,49.109,37.2439,37.2439,354.5032,354.5032,0.375153,0.001325,36.1533,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00015897.jpg,train,OK,720,480,1.5,20698,126.4139,43.9024,43.9024,606.7049,606.7049,0.020926,0.001626,25.1578,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00084493.jpg,train,OK,720,480,1.5,31687,125.2364,53.4777,53.4777,896.1374,896.1374,0.032384,0.033391,45.3794,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00080710.jpg,train,OK,720,480,1.5,17422,87.9007,33.8355,33.8355,528.8062,528.8062,0.042257,0.002604,26.3658,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00031318.jpg,train,OK,720,480,1.5,46033,125.9358,75.076,75.076,1309.6245,1309.6245,0.034042,0.132613,58.0707,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00000609.jpg,train,OK,342,228,1.5,6170,83.7811,23.9225,23.9225,228.0757,228.0757,0.020442,0.000872,27.5455,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00079936.jpg,train,OK,720,480,1.5,31255,139.5616,57.1505,57.1505,693.6113,693.6113,0.032818,0.036872,26.8775,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00053455.jpg,train,OK,720,480,1.5,24529,125.5067,44.791,44.791,704.9422,704.9422,0.021603,0.018113,26.3066,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00022658.jpg,train,OK,720,480,1.5,31981,123.1,49.754,49.754,759.7371,759.7371,0.024332,0.011979,65.3068,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00090051.jpg,train,OK,720,480,1.5,21031,124.1895,37.8422,37.8422,394.8833,394.8833,0.017378,0.001832,79.5482,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00085650.jpg,train,OK,720,480,1.5,30920,125.0664,47.6991,47.6991,651.175,651.175,0.02285,0.003264,65.4701,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00070059.jpg,train,OK,720,480,1.5,24199,86.3883,62.7232,62.7232,673.5939,673.5939,0.148449,0.042642,26.5488,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00057212.jpg,train,OK,720,480,1.5,29406,208.2267,43.1778,43.1778,746.5353,746.5353,0.026218,0.196461,12.4588,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00044639.jpg,train,OK,720,480,1.5,31191,135.8188,48.8798,48.8798,762.3375,762.3375,0.018756,0.014181,77.1742,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00108220.jpg,train,OK,342,228,1.5,10681,136.6932,52.4261,52.4261,2796.1755,2796.1755,0.025226,0.03478,16.8181,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
