dataset_name,sequence_id,proposed_split,road_type,road_type_assessment_source,road_type_manual_review_status,road_type_notes,apply_status,main_project_test,notes
AAU RainSnow,Ostre-4,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ringvej-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ringvej-2,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ringvej-3,CROSS_DATASET_TEST,INTERSECTION,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Giao lộ lớn có đèn tín hiệu, đảo phân luồng và vạch qua đường.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20011,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20012,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20032,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20033,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20034,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20035,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20051,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20052,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20061,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20062,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20063,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20064,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_20065,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39031,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39051,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39211,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39271,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39311,CROSS_DATASET_TEST,INTERSECTION,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,Giao lộ đô thị lớn với nhiều luồng xe cắt nhau.,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39361,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39371,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39401,CROSS_DATASET_TEST,INTERSECTION,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,Giao lộ đô thị nhiều làn và nhiều hướng rẽ.,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39501,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39511,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39761,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39771,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39781,CROSS_DATASET_TEST,URBAN_ROAD,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,Đường trục đô thị có dải phân cách và điểm dừng xe buýt.,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39801,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39811,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39821,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39851,CROSS_DATASET_TEST,URBAN_ROAD,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Đường trục đô thị có dải phân cách và điểm dừng xe buýt, quay ban đêm.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39861,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_39931,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40131,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40141,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40152,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40161,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40162,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40171,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40172,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40181,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40191,CROSS_DATASET_TEST,HIGHWAY,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Đường phân cách hoàn toàn, nhiều làn, không có giao cắt cùng mức.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40192,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40201,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40204,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40211,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40212,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40213,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40241,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40243,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40244,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40701,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40711,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40712,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40714,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40732,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40742,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40743,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40751,CROSS_DATASET_TEST,URBAN_ROAD,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Đường trục đô thị nhiều làn, có xe buýt và hàng rào phân luồng.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40752,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40761,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40762,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40763,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40771,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40772,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40773,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40774,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40775,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40792,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40793,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40851,CROSS_DATASET_TEST,INTERSECTION,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,Giao lộ đô thị rất lớn với nhiều luồng xe cắt nhau.,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40852,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40853,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40854,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40855,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40863,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40864,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40871,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40891,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40892,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40901,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40902,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40903,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40904,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40905,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40962,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40963,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40981,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40991,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_40992,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_41063,CROSS_DATASET_TEST,HIGHWAY,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Đường phân cách, nhiều làn, tốc độ cao và không có giao cắt cùng mức.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_41073,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63521,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63525,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63544,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63552,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63553,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63554,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63561,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63562,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
UA-DETRAC Original,MVI_63563,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
