dataset_name,boxes_per_image,image_count,analysis_scope
AAU RainSnow,26,2,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,27,2,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,28,5,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,29,4,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,30,4,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,31,3,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,32,2,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,33,1,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,34,1,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,35,1,FULL_ANNOTATION_SAMPLE_2198_IMAGES
MIO-TCD Localization,1,34123,SAMPLE_5000
MIO-TCD Localization,2,25041,SAMPLE_5000
MIO-TCD Localization,3,17025,SAMPLE_5000
MIO-TCD Localization,4,11061,SAMPLE_5000
MIO-TCD Localization,5,7368,SAMPLE_5000
MIO-TCD Localization,6,4963,SAMPLE_5000
MIO-TCD Localization,7,3298,SAMPLE_5000
MIO-TCD Localization,8,2048,SAMPLE_5000
MIO-TCD Localization,9,1208,SAMPLE_5000
MIO-TCD Localization,10,794,SAMPLE_5000
MIO-TCD Localization,11,535,SAMPLE_5000
MIO-TCD Localization,12,414,SAMPLE_5000
MIO-TCD Localization,13,347,SAMPLE_5000
MIO-TCD Localization,14,259,SAMPLE_5000
MIO-TCD Localization,15,204,SAMPLE_5000
MIO-TCD Localization,16,224,SAMPLE_5000
MIO-TCD Localization,17,212,SAMPLE_5000
MIO-TCD Localization,18,209,SAMPLE_5000
MIO-TCD Localization,19,188,SAMPLE_5000
MIO-TCD Localization,20,138,SAMPLE_5000
MIO-TCD Localization,21,112,SAMPLE_5000
MIO-TCD Localization,22,75,SAMPLE_5000
MIO-TCD Localization,23,68,SAMPLE_5000
MIO-TCD Localization,24,34,SAMPLE_5000
MIO-TCD Localization,25,18,SAMPLE_5000
MIO-TCD Localization,26,8,SAMPLE_5000
MIO-TCD Localization,27,9,SAMPLE_5000
MIO-TCD Localization,28,4,SAMPLE_5000
MIO-TCD Localization,29,5,SAMPLE_5000
MIO-TCD Localization,30,2,SAMPLE_5000
MIO-TCD Localization,31,2,SAMPLE_5000
MIO-TCD Localization,32,2,SAMPLE_5000
MIO-TCD Localization,33,1,SAMPLE_5000
MIO-TCD Localization,34,1,SAMPLE_5000
UA-DETRAC Original,1,5092,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,2,8738,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,3,9408,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,4,10652,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,5,11532,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,6,12146,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,7,11353,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,8,11084,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,9,8961,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,10,7017,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,11,5117,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,12,4306,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,13,4233,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,14,3308,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,15,3218,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,16,2693,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,17,2325,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,18,2121,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,19,2797,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,20,1920,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,21,1905,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,22,1554,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,23,1475,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,24,836,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,25,593,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,26,479,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,27,622,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,28,597,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,29,198,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,30,179,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,31,324,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,32,203,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,33,284,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,34,353,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,35,226,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,36,131,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,37,41,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,38,19,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,39,105,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,40,91,FULL_ANNOTATION_SAMPLE_5000_IMAGES
UA-DETRAC Original,41,16,FULL_ANNOTATION_SAMPLE_5000_IMAGES
